target_formula,precursor_formulas
La0.2Sr0.8Cu0.4Co0.6O3,"[['CuO', 'SrCO3', 'La2O3', 'Co3O4']]"
La0.2Sr0.8Ti0.9Mn0.1O3,"[['SrCO3', 'La2O3', 'MnO2', 'TiO2'], ['SrCO3', 'La2O3', 'MnO2', 'TiO2']]"
La0.2Sr0.8TiO3,"[['TiO2', 'SrCO3', 'La2O3'], ['SrCO3', 'La2O3', 'TiO2'], ['SrCO3', 'La2O3', 'TiO2'], ['SrCO3', 'La2O3', 'TiO2'], ['SrCO3', 'La2O3', 'TiO2'], ['SrCO3', 'La2O3', 'TiO2'], ['SrCO3', 'TiO2', 'La2O3']]"
La0.2Sr1.8MnO4,"[['MnCO3', 'SrCO3', 'La2O3'], ['Sr(NO3)2', 'La(NO3)2', 'Mn(NO3)2']]"
La0.33Ca0.67MnO3,"[['CaCO3', 'La2O3', 'MnO2'], ['La2O3', 'CaO3', 'MnO4']]"
La0.33Sr0.67MnO3,"[['SrCO3', 'La2O3', 'MnO2']]"
La0.35Ca0.65MnO,"[['CaCO3', 'La2O3', 'MnO2']]"
La0.3Sr0.7Co0.07Ti0.93O3,"[['TiO2', 'SrCO3', 'La2O3', 'Co3O4']]"
La0.3Sr0.7CoO3,"[['SrCO3', 'La2O3', 'Co(NO3)2'], ['SrCO3', 'La2O3', 'Co(NO3)2']]"
La0.3Sr0.7TiO3,"[['SrCO3', 'TiO2', 'La2O3'], ['SrCO3', 'TiO2', 'La2O3'], ['SrCO3', 'La2O3', 'TiO2'], ['TiO2', 'SrCO3', 'La2O3']]"
La0.42Ca0.33Tb0.25MnO3,"[['Tb4O7', 'CaCO3', 'La2O3', 'MnO2']]"
La0.45Ce0.55O2,"[['CeO2', 'La2O3']]"
La0.45Nd0.45Sr0.1FeO2.95,"[['SrCO3', 'Nd2O3', 'La2O3', 'Fe2O3']]"
La0.46Eu0.21Ca0.33MnO3,"[['CaCO3', 'La2O3', 'Eu2O3', 'MnO2']]"
La0.4Ba0.4Ca0.2Mn0.4Ti0.6O3,"[['La2O3', 'CaCO3', 'MnCO3', 'TiO2', 'BaCO3']]"
La0.4Ba0.6Mn0.8Mg0.2O3,"[['Ba(NO3)2', 'Mg(NO3)2', 'Mn(NO3)2', 'La(NO3)3']]"
La0.4Ce0.4Tb0.2PO4,"[['Tb4O7', 'CeO2', 'La2O3', '(NH4)2HPO4']]"
La0.4Ce0.6O1.8,"[['La2O3', 'CeO2'], ['La2O3', 'CeO2'], ['Ce(NH4)2(NO3)6', 'La2O3'], ['Ce(NH4)2(NO3)6', 'La2O3'], ['Ce(NH4)2(NO3)6', 'La2O3'], ['Ce(NH4)2(NO3)6', 'La2O3'], ['CeO2', 'La2O3'], ['CeO2', 'La2O3']]"
La0.4Ce0.6O2,"[['CeO2', 'La2O3'], ['La2O3', 'CeO2'], ['La2O3', 'CeO2'], ['CeO2', 'La2O3'], ['La2O3', 'CeO2'], ['CeO2', 'La2O3'], ['La2O3', 'CeO2'], ['La2O3', 'CeO2']]"
La0.4Ni0.2Co3.8Sb12,"[['La', 'Co', 'Sb', 'Ni']]"
La0.4Sr0.4TiO3,"[['SrCO3', 'La2O3', 'TiO2'], ['SrCO3', 'TiO2', 'La2O3']]"
La0.4Sr0.6Co0.2Fe0.7Nb0.1O3,"[['SrCO3', 'La(NO3)3', 'Fe2O3', 'Nb2O5', 'Co(NO3)2']]"
La0.4Sr0.6CoO3,"[['SrCO3', 'La2O3', 'Co3O4'], ['SrCO3', 'La2O3', 'Co3O4']]"
La0.4Sr0.6FeO3,"[['SrCO3', 'La2O3', 'Fe2O3']]"
La0.4Sr0.6MnO3,"[['SrCO3', 'Mn2O3', 'La2O3']]"
La0.4Sr0.6TiO3,"[['SrCO3', 'TiO2', 'La2O3']]"
La0.50Ca0.50MnO3,"[['Mn2O3', 'CaCO3', 'La2O3'], ['CaCO3', 'La2O3', 'MnO2'], ['CaCO3', 'La2O3', 'MnO2']]"
La0.50Sr0.50MnO3,"[['SrCO3', 'La2O3', 'MnCO3']]"
La0.54Sr0.46MnO3,"[['MnCO3', 'SrCO3', 'La2O3']]"
La0.55Ho0.15Sr0.3MnO3,"[['SrCO3', 'La2O3', 'Ho2O3', 'MnO2'], ['SrCO3', 'La2O3', 'Ho2O3', 'MnO2']]"
La0.55Li0.35TiO3,"[['TiO2', 'Li2CO3', 'La2O3'], ['TiO2', 'Li2CO3', 'La2O3'], ['TiO2', 'Li2CO3', 'La2O3'], ['TiO2', 'Li2CO3', 'La2O3'], ['TiO2', 'Li2CO3', 'La2O3'], ['TiO2', 'Li2CO3', 'La2O3'], ['TiO2', 'Li2CO3', 'La2O3']]"
La0.55Sr0.35Fe0.8Co0.2O3,"[['Sr(NO3)2', 'La(NO3)2.6H2O', 'Co(NO3)3.6H2O', 'Fe(NO3)3.9H2O']]"
La0.55Sr0.45MnO3,"[['Sr(NO3)2', 'Mn(NO3)2', 'La(NO3)3']]"
La0.56Li0.33TiO3,"[['TiO2', 'Li2CO3', 'La2O3'], ['TiO2', 'Li2CO3', 'La2O3'], ['TiO2', 'Li2CO3', 'La2O3']]"
La0.57Li0.29TiO3,"[['TiO2', 'Li2CO3', 'La2O3'], ['TiO2', 'Li2CO3', 'La2O3'], ['TiO2', 'Li2CO3', 'La2O3'], ['TiO2', 'Li2CO3', 'La2O3']]"
La0.57Li0.30TiO3,"[['TiO2', 'Li2CO3', 'La2O3']]"
La0.57Li0.3TiO3,"[['TiO2', 'Li2CO3', 'La2O3'], ['TiO2', 'Li2CO3', 'La2O3']]"
La0.57Nd0.1Pb0.33Mn0.8Ti0.2O3,"[['PbCO3', 'La2O3', 'Nd2O3', 'MnO2', 'TiO2']]"
La0.57Sr0.15TiO3,"[['SrCO3', 'La2O3', 'TiO2']]"
La0.5Al0.5FeO3,"[['La2O3', 'Al2O3', 'Fe2O3']]"
La0.5Ba0.5FeO3,"[['BaCO3', 'La2O3', 'Fe2O3']]"
La0.5Ca0.4Li0.1MnO3,"[['Li2CO3', 'CaCO3', 'La2O3', 'MnO2']]"
La0.5Ca0.5FeO3,"[['CaCO3', 'La2O3', 'Fe2O3']]"
La0.5Ca0.5MnO2.5,"[['CaCO3', 'La2O3', 'MnO2']]"
La0.5Ca0.5MnO3,"[['CaCO3', 'La2O3', 'MnO2'], ['CaCO3', 'La2O3', 'MnO2'], ['CaCO3', 'La2O3', 'MnO2'], ['La2O3', 'CaCO3', 'MnO2'], ['CaO', 'Mn2O3', 'La2O3']]"
La0.5Gd0.5CrO3,"[['Cr2O3', 'La2O3', 'Gd2O3']]"
La0.5Li0.5TiO3,"[['TiO2', 'Li2CO3', 'La2O3'], ['TiO2', 'Li2CO3', 'La2O3']]"
La0.5Na0.5TiO3,"[['La2O3', 'Na2CO3', 'TiO2']]"
La0.5Pr0.5CrO3,"[['La2O3', 'Cr2O3', 'Pr6O11']]"
La0.5Sr0.4Ba0.1MnO3,"[['SrCO3', 'La2O3', 'MnO2', 'BaCO3']]"
La0.5Sr0.5CoO3,"[['SrCO3', 'La2O3', 'CoCO3'], ['La2O3', 'Sr(NO3)2', 'Co3O4'], ['SrCO3', 'La2O3', 'Co3O4'], ['La(NO3)3', 'Sr(NO3)2', 'Co(CH3COO)3'], ['SrCO3', 'La2O3', 'Co3O4'], ['SrCO3', 'La2O3', 'CoCO3'], ['SrCO3', 'La2O3', 'Co3O4'], ['SrCO3', 'La2O3', 'Co3O4'], ['SrCO3', 'La2O3', 'CoCO3'], ['SrCO3', 'Co2O3', 'La2O3'], ['SrCO3', 'La2O3', 'Co3O4'], ['SrCO3', 'CoCO3', 'La2O3'], ['SrCO3', 'La2O3', 'Co3O4']]"
La0.5Sr0.5Fe0.9Ta0.1O3,"[['La(OH)3', 'SrCO3', 'Ta2O5', 'Fe2O3']]"
La0.5Sr0.5FeO3,"[['SrCO3', 'La2O3', 'Fe(NO3)3'], ['SrCO3', 'La2O3', 'Fe(NO3)3'], ['SrO2', 'Fe', 'La2O3'], ['SrCO3', 'La2O3', 'Fe2O3'], ['La2O3', 'Sr2CO3', 'Fe2O3']]"
La0.5Sr0.5Mn0.5Ti0.5O3,"[['La(NO3)3', 'TiO2', 'Sr(NO3)2', 'Mn(CH3COO)2'], ['SrCO3', 'TiO2', 'La2O3', 'MnO2']]"
La0.5Sr0.5MnO2.88,"[['SrCO3', 'La2O3', 'MnO2']]"
La0.5Sr0.5MnO3,"[['MnCO3', 'SrCO3', 'La2O3'], ['SrCO3', 'La2O3', 'MnO2']]"
La0.5Sr1.5MnO4,"[['SrCO3', 'Mn3O4', 'La2O3']]"
La0.60Y0.07Ca0.33MnO3,"[['Mn2O3', 'CaCO3', 'La2O3', 'Y2O3']]"
La0.61Sr0.39MnO3,"[['Mn2(CO3)7', 'La(NO3)3', 'Sr(NO3)2']]"
La0.62Li0.16TiO3,"[['TiO2', 'Li2CO3', 'La2O3'], ['TiO2', 'Li2CO3', 'La2O3'], ['TiO2', 'Li2CO3', 'La2O3']]"
La0.63Y0.07Ca0.30MnO3,"[['MnCO3', 'CaCO3', 'La2O3', 'Y2O3'], ['MnCO3', 'CaCO3', 'La2O3', 'Y2O3']]"
La0.64(Ti0.92Nb0.08)O2.99,"[['TiO2', 'Nb2O5', 'La2O3']]"
La0.65Ce0.05Ca0.3MnO3,"[['CaCO3', 'La2O3', 'CeO2', 'MnO2']]"
La0.65Pb0.35MnO3,"[['MnCO3', 'PbCO3', 'La2O3']]"
La0.65Sr0.35Cr0.5Mn0.5O3,"[['SrCO3', 'Cr2O3', 'La2O3', 'MnCO3']]"
La0.65Sr0.35MnO3,"[['La2O3', 'Mn2O7', 'SrCO3']]"
La0.67Ba0.33MnO3,"[['BaCO3', 'La2O3', 'MnO2'], ['BaCO3', 'La2O3', 'MnO2'], ['BaCO3', 'La2O3', 'MnO2'], ['BaCO3', 'MnO2', 'La2O3']]"
La0.67Ca0.33Mn0.995Hf0.005O3,"[['HfO2', 'CaCO3', 'La2O3', 'MnO2']]"
La0.67Ca0.33Mn0.99Sn0.01O3,"[['La2O3', 'SnO2', 'CaCO3', 'Mn2O3']]"
La0.67Ca0.33Mn0.9Fe0.1O3,"[['CaCO3', 'La2O3', 'Fe2O3', 'MnO2']]"
La0.67Ca0.33MnO3,"[['La2O3', 'CaCO3', 'MnO2'], ['La2O3', 'CaCO3', 'MnO2'], ['La2O3', 'CaCO3', 'MnO2'], ['La2O3', 'CaCO3', 'MnO'], ['MnO', 'La2O3', 'CaCO3'], ['CaCO3', 'La2O3', 'MnO2'], ['CaCO3', 'La2O3', 'MnO2'], ['MnCO3', 'CaO', 'La2O3'], ['MnCO3', 'CaO', 'La2O3'], ['MnCO3', 'CaCO3', 'La2O3'], ['CaCO3', 'La2O3', 'MnO2'], ['MnCO3', 'CaCO3', 'La2O3'], ['MnCO3', 'CaO', 'La2O3'], ['MnCO3', 'CaO', 'La2O3']]"
La0.67Sr0.33CoO3,"[['SrCO3', 'La2O3', 'Co3O4']]"
La0.67Sr0.33Mn0.99Sn0.01O3,"[['SrCO3', 'La2O3', 'SnO2', 'Mn2O3']]"
La0.67Sr0.33Mn1,"[['SrCO3', '(CH3COO)2Mn', 'La2O3']]"
La0.67Sr0.33MnO3,"[['SrCO3', 'La2O3', 'MnO'], ['SrCO3', 'La2O3', 'MnO2'], ['SrCO3', 'La2O3', 'MnO2'], ['La2O3', 'SrO', 'MnO2'], ['SrCO3', 'La2O3', 'MnO2']]"
La0.683Ti0.95Al0.05O3,"[['TiO2', 'La2O3', 'Al2O3'], ['TiO2', 'La2O3', 'Al2O3']]"
La0.6Ba0.4ScO2.8,"[['BaCO3', 'Sc2O3', 'La2O3']]"
La0.6Ca0.3Pb0.1MnO3,"[['PbCO3', 'CaCO3', 'La2O3', 'MnO2']]"
La0.6Ca0.4CoO3,"[['La2O3', 'CaCO3', 'Co3O4']]"
La0.6Ca0.4Fe0.75Co0.25O3,"[['La(OH)3', 'Co2O3', 'CaCO3', 'Fe2O3'], ['La(OH)3', 'CaCO3', 'Fe2O3', 'CoO']]"
La0.6Li0.2TiO3,"[['TiO2', 'Li2CO3', 'La2O3'], ['TiO2', 'Li2CO3', 'La2O3']]"
La0.6Pb0.4MnO3,"[['La2O3', 'Pb3O4', 'MnO2']]"
La0.6Sr0.4Co0.2Fe0.7Cu0.1O3,"[['SrCO3', 'La2O3', 'CuO', 'Fe2O3', 'Co3O4']]"
La0.6Sr0.4Co0.2Fe0.8O3,"[['SrCO3', 'La2O3', 'Fe2O3', 'Co3O4'], ['SrCO3', 'La2O3', 'Fe2O3', 'Co3O4'], ['SrCO3', 'La2O3', 'Fe2O3', 'Co3O4'], ['SrCO3', 'La2O3', 'Fe2O3', 'Co3O4'], ['Sr(NO3)2', 'La(NO3)3', 'Fe(NO3)2', 'Co(NO3)'], ['SrCO3', 'La2O3', 'Co3O4', 'Fe2O3'], ['SrCO3', 'La2O3', 'Fe2O3', 'Co3O4'], ['Sr(NO3)2', 'La(NO3)3', 'Fe(NO3)3', 'Co(NO3)2'], ['Sr(NO3)2', 'La(NO3)3', 'Fe(NO3)3', 'Co(NO3)2'], ['SrCO3', 'La2O3', 'Fe2O3', 'Co3O4'], ['SrCO3', 'La2O3', 'Fe2O3', 'Co3O4'], ['SrCO3', 'La2O3', 'Fe2O3', 'Co2O3'], ['SrCO3', 'La2O3', 'Fe2O3', 'Co(NO3)2'], ['Co2O3', 'La2O3', 'SrCO3', 'Fe2O3'], ['SrCO3', 'La2O3', 'Fe2O3', 'Co(NO3)2'], ['Co2O3', 'Fe2O3', 'La2O3', 'Sr(CO3)2'], ['Co2O3', 'Fe2O3', 'La2O3', 'Sr(CO3)2'], ['SrCO3', 'La2O3', 'Fe2O3', 'Co3O4'], ['SrCO3', 'La2O3', 'Fe2O3', 'Co3O4'], ['Co2O3', 'Fe2O3', 'La2O3', 'Sr(CO3)2'], ['SrCO3', 'La2O3', 'Co3O4', 'Fe2O3'], ['Co2O3', 'Fe2O3', 'La2O3', 'Sr(CO3)2'], ['Co(NO3)2', 'Fe(NO3)3', 'Sr(NO3)2', 'La(NO3)3'], ['SrCO3', 'La2O3', 'Co2O3', 'Fe2O3'], ['Co2O3', 'Fe2O3', 'La2O3', 'Sr(CO3)2'], ['CoCO3.3Co(OH)2', 'SrCO3', 'La2O3', 'Fe2O3'], ['SrCO3', 'La2O3', 'Fe2O3', 'Co3O4'], ['Co2O3', 'Fe2O3', 'La2O3', 'Sr(CO3)2'], ['Co2O3', 'Fe2O3', 'La2O3', 'Sr(CO3)2'], ['Sr(NO3)2', 'La(NO3)3', 'Fe(NO3)3', 'Co(NO3)2']]"
La0.6Sr0.4Co0.8Cu0.2O3,"[['Sr(NO3)2', 'Co(NO3)2', 'Cu(NO3)2', 'La(NO3)3'], ['Sr(NO3)2', 'Co(NO3)2', 'Cu(NO3)2', 'La(NO3)3']]"
La0.6Sr0.4Co0.8Fe0.2O3,"[['Sr(NO3)2', 'Co(NO3)2', 'La(NO3)2', 'Fe(NO3)3'], ['SrCO3', 'La2O3', 'Co2O3', 'Fe2O3'], ['Sr(NO3)2', 'La(NO3)3', 'Co(NO3)3', 'Fe(NO3)3'], ['SrCO3', 'La2O3', 'Co3O4', 'Fe2O3'], ['SrCO3', 'La2O3', 'Co3O4', 'Fe2O3']]"
La0.6Sr0.4CoO3,"[['SrCO3', 'La2O3', 'Co3O4'], ['Co(CH3COO)2', 'Sr(NO3)2', 'La(NO3)3'], ['Co(NO3)2', 'Sr(NO3)2', 'La(NO3)3'], ['SrCO3', 'La2O3', 'Co(NO3)2'], ['SrCO3', 'La2O3', 'Co(NO3)2'], ['SrCO3', 'La2O3', 'Co3O4'], ['SrCO3', 'La2O3', 'Co3O4'], ['Co(CH3COO)2', 'Sr(NO3)2', 'La(NO3)3'], ['Co(CH3COO)2', 'Sr(NO3)2', 'La(NO3)3'], ['Sr(NO3)2', '(CH3COO)2Co', 'La(NO3)3'], ['SrCO3', 'La2O3', 'Co3O4'], ['Sr(NO3)2', '(CH3COO)2Co', 'La(NO3)3'], ['SrCO3', 'La2O3', 'Co3O4'], ['Sr(NO3)2', '(CH3COO)2Co', 'La(NO3)3']]"
La0.6Sr0.4Fe0.6Ga0.4O3,"[['SrCO3', 'La2O3', 'Ga2O3', 'Fe2O3']]"
La0.6Sr0.4Fe0.85Pd0.05Mn0.1O3,"[['Sr(NO3)2', 'Fe(NO3)3', 'La(NO3)3', 'C4H6O4Pd', 'Mn(NO3)2']]"
La0.6Sr0.4Fe0.8Co0.2O3,"[['SrCO3', 'La2O3', 'Co3O4', 'Fe2O3'], ['SrCO3', 'Co(NO3)2', 'La2O3', 'Fe2O3']]"
La0.6Sr0.4Fe0.9Ga0.1O3,"[['SrCO3', 'La2O3', 'Ga2O3', 'Fe2O3'], ['SrCO3', 'La2O3', 'Ga2O3', 'Fe2O3']]"
La0.6Sr0.4Fe0.9Mn0.1O3,"[['La(NO3)', 'Sr(NO3)2', 'Fe(NO3)3', 'Mn(NO3)3'], ['Sr(NO3)2', 'La(NO3)3', 'Fe(NO3)3', 'Mn(NO3)2'], ['SrCO3', 'La2O3', 'Fe2O3', 'MnO2']]"
La0.6Sr0.4FeO3,"[['Fe(NO3)3', 'La2O3', 'Sr(NO3)2']]"
La0.6Sr0.4Mn0.5Ti0.5O3,"[['La(NO3)3', 'TiO2', 'Sr(NO3)2', 'Mn(CH3COO)2']]"
La0.6Sr0.4MnO3,"[['SrCO3', 'Mn2O3', 'La2O3'], ['(CH3COO)2Sr', '(CH3COO)2Mn', '(CH3COO)3La'], ['(CH3COO)2Sr', '(CH3COO)2Mn', '(CH3COO)3La'], ['(CH3COO)2Sr', '(CH3COO)2Mn', '(CH3COO)3La']]"
La0.6Sr1.4MnO4,"[['La(NO3)3', 'Mn(NO3)2', 'Sr(NO3)2'], ['SrCO3', 'Mn3O4', 'La2O3']]"
La0.70Ca0.20Sr0.10MnO3,"[['La2O3', 'Ca(CH3COO)2', 'Mn(CH3COO)2', 'Sr(CH3COO)2']]"
La0.70Ca0.30MnO3,"[['CaCO3', 'La2O3', 'MnO2'], ['CaCO3', 'La2O3', 'MnO2']]"
La0.70Sr0.30MnO3,"[['SrCO3', 'La2O3', 'MnO2']]"
La0.7282Sr0.1Ga0.6380Mg0.4255O3,"[['SrCO3', 'MgO', 'La2O3', 'Ga2O3']]"
La0.75Ag0.25MnO3,"[['MnCO3', 'Ag2O', 'La2O3']]"
La0.75Ca0.25CrO3,"[['CaO', 'La2O3', 'Cr(NO3)3'], ['CaO', 'La2O3', 'Cr(NO3)3']]"
La0.75Mg0.25Ni3.3Co0.5,"[['La', 'Co', 'Mg', 'Ni']]"
La0.75Nd0.25CrO3,"[['Nd2O3', 'Cr2O3', 'La2O3']]"
La0.75Sr0.11Ca0.14MnO3,"[['Sr(NO3)2', 'CaCO3', 'MnCO3', 'La(NO3)3'], ['Sr(NO3)2', 'CaCO3', 'MnCO3', 'La(NO3)3']]"
La0.75Sr0.25Cr0.5Fe0.5O3,"[['SrCO3', 'La2O3', 'Cr2O3', 'Fe2O3']]"
La0.75Sr0.25Cr0.5Mn0.5O3,"[['SrCO3', 'La2O3', 'Cr2O3', 'Mn2O3'], ['Sr(NO3)2', 'Cr(NO3)3', 'La(NO3)3', 'Mn(NO3)2'], ['SrCO3', 'La2O3', 'Cr2O3', 'MnO2'], ['SrCO3', 'La2O3', 'Cr2O3', 'MnCO3'], ['SrCO3', 'La2O3', 'Cr2O3', 'Mn2O3'], ['SrCO3', 'Cr2O3', 'La2O3', 'MnCO3'], ['SrCO3', 'Cr2O3', 'Mn2O3', 'La2O3']]"
La0.75Sr0.25CrO3,"[['SrCO3', 'Cr2O3', 'La2O3']]"
La0.75Sr0.25MnO3,"[['Sr(NO3)2', 'Mn(NO3)2', 'La(NO3)3']]"
La0.76Sr0.24MnO3,"[['SrCO3', 'Mn3O4', 'La2O3']]"
La0.78Sr0.22MnO3,"[['SrCO3', 'La2O3', 'MnO2']]"
La0.7Ag0.3MnO3,"[['AgNO3', 'Mn(CH3COO)2', 'La(NO3)3']]"
La0.7Ba0.3Cr0.5Mn0.5O3,"[['La2O3', 'Cr2O3', 'MnCO3', 'BaCO3']]"
La0.7Ba0.3MnO3,"[['BaCO3', 'La2O3', 'MnO2']]"
La0.7Ca0.15Sr0.15MnO3,"[['SrCO3', 'CaCO3', 'La2O3', 'MnO2']]"
La0.7Ca0.1Pb0.2MnO3,"[['PbCO3', 'CaCO3', 'La2O3', 'MnO2']]"
La0.7Ca0.25Ce0.05MnO3,"[['CaCO3', 'La2O3', 'CeO2', 'MnO2']]"
La0.7Ca0.2Pb0.1MnO3,"[['PbCO3', 'CaCO3', 'La2O3', 'MnO2']]"
La0.7Ca0.2Sr0.1MnO3,"[['SrCO3', 'CaCO3', 'La2O3', 'MnO2'], ['SrCO3', 'CaCO3', 'La2O3', 'MnO2']]"
La0.7Ca0.3Cr0.5Mn0.5O3,"[['La2O3', 'Cr2O3', 'CaCO3', 'MnCO3']]"
La0.7Ca0.3Mn0.925Ti0.075O3,"[['TiO2', 'CaCO3', 'La2O3', 'MnO2']]"
La0.7Ca0.3Mn0.95Co0.05O3,"[['CaCO3', 'La2O3', 'Co3O4', 'MnO2']]"
La0.7Ca0.3MnO,"[['CaCO3', 'La2O3', 'MnO2']]"
La0.7Ca0.3MnO3,"[['CaCO3', 'La2O3', 'MnO2'], ['MnCO3', 'CaO', 'La2O3'], ['CaCO3', 'La2O3', 'MnO2'], ['MnCO3', 'CaCO3', 'La2O3'], ['CaCO3', 'La2O3', 'MnO2'], ['CaCO3', 'La2O3', 'MnO2'], ['CaCO3', 'La2O3', 'MnO2'], ['CaCO3', 'La2O3', 'MnO2'], ['CaCO3', 'La2O3', 'MnO2'], ['MnCO3', 'CaCO3', 'La2O3'], ['CaCO3', 'La2O3', 'MnO2'], ['MnCO3', 'CaCO3', 'La2O3'], ['CaO', 'La2O3', 'MnCO3'], ['CaCO3', 'La2O3', 'MnO2'], ['MnCO3', 'La2(CO3)3', 'CaCO3']]"
La0.7Ce0.3MnO3,"[['CeO2', 'La2O3', 'MnO2']]"
La0.7Hg0.3MnO3,"[['HgO', 'La2O3', 'MnO2']]"
La0.7MnO3,"[['MnCO3', 'La2O3'], ['La2O3', 'MnO2']]"
La0.7Pb0.3MnO3,"[['MnCO3', 'PbCO3', 'La2O3'], ['PbCO3', 'La2O3', 'MnCO3'], ['La2O3', 'Mn(NO3)2', 'Pb(NO3)2'], ['La2O3', 'Mn(NO3)2', 'Pb(NO3)2']]"
La0.7Sr0.3Co0.9Fe0.1O3,"[['SrCO3', 'Co', 'La2O3', 'FeC2O4']]"
La0.7Sr0.3Co0.9Mn0.1O3,"[['SrCO3', 'La2O3', 'Co3O4', 'MnO2']]"
La0.7Sr0.3CoO3,"[['SrCO3', 'La2O3', 'Co3O4']]"
La0.7Sr0.3Cr0.5Mn0.5O3,"[['SrCO3', 'La2O3', 'Cr2O3', 'MnCO3']]"
La0.7Sr0.3CrO3,"[['SrCO3', 'Cr2O3', 'La2O3'], ['SrCO3', 'Cr2O3', 'La2O3']]"
La0.7Sr0.3Cu0.2Fe0.8O3,"[['SrCO3', 'Fe2O3', 'La2O3', 'CuO'], ['SrCO3', 'CuO', 'La2O3', 'Fe2O3']]"
La0.7Sr0.3CuO3,"[['SrCO3', 'La2O3', 'CuO']]"
La0.7Sr0.3FeO3,"[['SrCO3', 'La2O3', 'Fe2O3'], ['SrCO3', 'La2O3', 'Fe2O3']]"
La0.7Sr0.3Ga0.3Fe0.7O3,"[['SrCO3', 'La2O3', 'Ga2O3', 'Fe2O3']]"
La0.7Sr0.3Ga0.6Fe0.4O3,"[['SrCO3', 'La2O3', 'Ga2O3', 'Fe2O3'], ['SrCO3', 'La2O3', 'Ga2O3', 'Fe2O3'], ['SrCO3', 'La2O3', 'Ga2O3', 'Fe2O3'], ['La(OH)3', 'SrCO3', 'Ga2O3', 'Fe2O3']]"
La0.7Sr0.3Mn0.5Fe0.5O3,"[['SrCO3', 'Mn2O3', 'La2O3', 'Fe2O3']]"
La0.7Sr0.3Mn0.8Ti0.2O3,"[['SrCO3', 'TiO2', 'La2O3', 'MnO2']]"
La0.7Sr0.3MnO3,"[['SrCO3', 'La2O3', 'MnO2'], ['Sr(NO3)2', 'Mn(NO3)2', 'La(NO3)2'], ['SrCO3', 'La2O3', 'MnCO3'], ['Mn2O3', 'La2O3', 'Sr(NO3)2'], ['SrCO3', 'La2O3', 'MnO2'], ['Mn2O3', 'Sr(CO3)2', 'La(NO3)3'], ['SrCO3', 'La2O3', 'MnO2'], ['Sr(NO3)2', 'Mn(NO3)2', 'La(NO3)2'], ['SrCO3', 'La2O3', 'MnCO3'], ['La2O3', 'Mn2O3', 'Sr2O3'], ['SrCO3', 'La2O3', 'MnO2'], ['Sr(NO3)2', 'La(NO3)3', 'Mn(NO3)2'], ['La(NO3)', 'Mn(NO3)', 'Sr(NO3)'], ['SrCO3', 'La2O3', 'MnO2'], ['SrCO3', 'Mn2O3', 'La2O3'], ['SrCO3', 'Mn2O3', 'La2O3'], ['SrCO3', 'La2O3', 'MnCO3'], ['Sr(NO3)2', 'La(NO3)3', 'Mn(NO3)2'], ['SrCO3', 'Mn2O3', 'La2O3'], ['SrCO3', 'La2O3', 'MnCO3']]"
La0.7Sr0.3VO3,"[['SrCO3', 'V2O5', 'La2O3'], ['SrCO3', 'V2O5', 'La2O3']]"
La0.7Tb0.3MnO3,"[['Tb4O7', 'La2O3', 'MnO2']]"
La0.7Th0.3MnO3,"[['ThO2', 'La2O3', 'MnO2']]"
La0.80Sr0.15Ga0.85Mg0.20O2.825,"[['SrCO3', 'MgO', 'La2O3', 'Ga2O3']]"
La0.80Sr0.20Ga0.83Mg0.17O2.815,"[['SrCO3', 'MgO', 'La2O3', 'Ga2O3']]"
La0.80Sr0.20Ga0.85Mg0.15O2.825,"[['SrCO3', 'MgO', 'La2O3', 'Ga2O3']]"
La0.825Sr0.175MnO3,"[['SrCO3', 'La2O3', 'MnO2'], ['SrCO3', 'La2O3', 'MnO2']]"
La0.82Sr0.18MnO3,"[['SrCO3', 'La2O3', 'MnCO3'], ['SrCO3', 'La2O3', 'MnCO3']]"
La0.84Sr0.16MnO3,"[['Mn(NO3)2', 'Sr(NO3)2', 'La(NO3)3']]"
La0.85Ce0.1Ga0.3Fe0.65Al0.05O3,"[['CeO2', 'La2O3', 'Al2O3', 'Ga2O3', 'Fe2O3']]"
La0.85K0.15MnO3,"[['K2CO3', 'MnO2', 'La2O3']]"
La0.85Sr0.15CoO3,"[['Sr(NO3)2', 'La(NO3)3', 'CoCO3'], ['Sr(NO3)2', 'La(NO3)3', 'CoCO3'], ['SrCO3', 'CoC2O4', 'La2O3']]"
La0.85Sr0.15Ga0.85Mg0.15O2.85,"[['SrCO3', 'MgO', 'La2O3', 'Ga2O3'], ['Mg(NO3)2', 'Sr(NO3)2', 'La(NO3)3', 'Ga']]"
La0.85Sr0.15Ga0.8Mg0.2O2.825,"[['MgO', 'La2O3', 'SrO', 'Ga2O3']]"
La0.85Sr0.15Ga0.8Mg0.2O3,"[['Mg(NO3)2', 'Sr(NO3)2', 'La(NO3)3', 'Ga(NO3)3']]"
La0.85Sr0.15MnO3,"[['SrCO3', 'Mn2O3', 'La2O3']]"
La0.85Te0.15MnO3,"[['La2O3', 'TeO2', 'MnO2']]"
La0.875Ca0.125MnO3,"[['Mn2O3', 'CaCO3', 'La2O3'], ['Mn2O3', 'CaCO3', 'La2O3']]"
La0.88MnO3,"[['La2O3', 'MnO2']]"
La0.88Sr0.12Ga0.82Mg0.18O2.85,"[['SrCO3', '(MgCO3)4', 'La2O3', 'Ga2O3']]"
